id,host_id,host_name,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,city,zipcode,country,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,bed_type,price,has_availability,review_scores_rating,instant_bookable,cancellation_policy
1266459,2317654,Dahlia,1.0,t,Adams,Seattle,98107,United States,47.66797916893154,-122.38210544982788,Apartment,Entire home/apt,2,1.0,1.0,Real Bed,150.00,t,9.8,f,strict
4118282,19071753,Julien,1.0,t,Adams,Seattle,98117,United States,47.675708114276055,-122.38755942597574,House,Entire home/apt,5,2.0,2.0,Real Bed,80.00,t,9.5,f,moderate
6813483,35674639,Beverly,1.0,f,Adams,Seattle,98107,United States,47.67477102702812,-122.38583049183896,Apartment,Entire home/apt,2,1.0,1.0,Real Bed,126.00,t,9.8,f,moderate
6590264,24500821,Tim,1.0,f,Adams,Seattle,98107,United States,47.669874319189546,-122.38771744416978,Apartment,Entire home/apt,4,1.0,2.0,Real Bed,115.00,t,9.6,f,strict
2650482,205007,Martin And Taryn,1.0,t,Adams,Seattle,98107,United States,47.670975763542906,-122.38782530429948,Apartment,Entire home/apt,4,2.0,2.0,Real Bed,225.00,t,9.8,f,flexible
20927,79450,Brad & Liz,2.0,t,Adams,Seattle,98107,United States,47.67333938829472,-122.39512028203794,Cabin,Entire home/apt,2,1.0,1.0,Futon,89.00,t,9.7,t,moderate
4395578,430709,Sea To Sky Rentals,36.0,t,Adams,Seattle,98107,United States,47.67100488663872,-122.38138141804372,House,Entire home/apt,8,3.0,5.0,Real Bed,225.00,t,10.0,f,strict
5549211,28770702,Mercy,4.0,t,Adams,Seattle,98107,United States,47.67175997191882,-122.39002012190964,Apartment,Entire home/apt,4,1.0,2.0,Real Bed,134.00,t,9.8,f,strict
8240758,15785670,Emily,1.0,t,Adams,Seattle,98107,United States,47.67481867247337,-122.38752123193476,Apartment,Entire home/apt,2,1.0,1.0,Real Bed,75.00,t,8.0,f,moderate
6856295,34872403,Pallavi,1.0,t,Adams,Seattle,98107,United States,47.673004006803325,-122.38500476109115,House,Private room,2,1.0,1.0,Real Bed,65.00,t,9.7,t,moderate
6881188,33225983,Jean,2.0,t,Adams,Seattle,98107,United States,47.670394534161645,-122.39389700139684,House,Entire home/apt,6,3.0,4.0,Real Bed,375.00,t,9.6,f,moderate
1579615,8403307,Mario,2.0,t,Adams,Seattle,98107,United States,47.67582151758453,-122.38971013062891,House,Entire home/apt,3,1.0,2.0,Real Bed,97.00,t,9.8,t,strict
3766866,19296907,J.Lynn,1.0,t,Adams,Seattle,98107,United States,47.67228446216902,-122.38231353831996,Condominium,Entire home/apt,2,1.0,1.0,Real Bed,145.00,t,9.7,f,moderate
2406966,53050,Bob,2.0,t,Adams,Seattle,98107,United States,47.6722723724429,-122.38413221284148,Apartment,Entire home/apt,5,2.0,4.0,Real Bed,129.00,t,10.0,f,strict
4872699,25066447,Karen,1.0,t,Adams,Seattle,98107,United States,47.67575024473943,-122.37657992996256,House,Entire home/apt,6,3.0,4.0,Real Bed,197.00,t,10.0,t,strict
5470629,28375755,Barbara,1.0,t,Adams,Seattle,98107,United States,47.67260212498738,-122.38844149131732,Apartment,Entire home/apt,2,1.0,1.0,Real Bed,120.00,t,9.9,f,moderate
2950213,15060417,Ginny,1.0,t,Adams,Seattle,98107,United States,47.66676678367042,-122.3812426518729,Apartment,Entire home/apt,4,1.0,1.0,Real Bed,200.00,t,9.5,t,flexible
9015088,29133654,Muna,2.0,t,Adams,Seattle,98117,United States,47.67550084177057,-122.38890631386724,Apartment,Entire home/apt,5,2.0,2.0,Real Bed,135.00,t,10.0,t,moderate
3979496,4807375,Jayne,1.0,t,Adams,Seattle,98107,United States,47.67575764326512,-122.37879830487678,House,Private room,2,1.0,1.0,Futon,70.00,t,9.5,f,moderate
7501919,36085516,Jennifer,1.0,t,Adams,Seattle,98107,United States,47.66780058682701,-122.38830016297266,Apartment,Entire home/apt,2,1.0,2.0,Real Bed,150.00,t,9.7,f,flexible
4732995,19533935,Stephanie,1.0,t,Adams,Seattle,98107,United States,47.669371290094354,-122.37628776467491,Apartment,Entire home/apt,3,1.0,1.0,Real Bed,200.00,t,9.5,t,moderate
7134759,23228606,Elin,3.0,t,Adams,Seattle,98107,United States,47.66896087580327,-122.39387694463308,Townhouse,Private room,2,1.0,1.0,Real Bed,60.00,t,9.8,f,moderate
4532538,23489864,Daniel,1.0,f,Adams,Seattle,98107,United States,47.67168770578295,-122.3925585891835,House,Entire home/apt,5,3.0,5.0,Real Bed,180.00,t,10.0,f,strict
7534398,39472587,Kelly,1.0,t,Adams,Seattle,98107,United States,47.67180998159056,-122.38343718053753,Apartment,Private room,3,1.0,1.0,Real Bed,69.00,t,10.0,f,moderate
9387189,1539790,Alianna,1.0,t,Adams,Seattle,98107,United States,47.66502232989992,-122.38279676983008,Apartment,Entire home/apt,3,0.0,1.0,Real Bed,90.00,t,10.0,f,flexible
6337492,32998581,Katelynn,1.0,t,Adams,Seattle,98107,United States,47.66898920822731,-122.39514528093302,Apartment,Entire home/apt,2,1.0,1.0,Real Bed,80.00,t,9.2,f,flexible
